country,consumption
United States,3989.5664
Russia,965.1560464
Japan,902.842634
Brazil,597.2345504
Canada,549.2638628
South Korea,527.035648
Germany,524.268434
France,449.422585
United Kingdom,300.520358
Italy,297.150052
Mexico,267.91059
Indonesia,263.1385035
Turkey,251.376078
Spain,241.562852
Australia,241.020131
Taiwan,237.5574256
South Africa,210.3043921
Poland,152.573352
Sweden,131.798015
Ukraine,128.8064393
Norway,124.126519
Netherlands,110.68171
Philippines,93.3543207
Finland,84.206701
Belgium,82.051496
Chile,74.99209
Bitcoin,69.99639419
Austria,66.848708
Czech Republic,63.919966
Switzerland,56.35254
Romania,55.0077777
Greece,53.63537
Portugal,48.035112
Singapore,47.58252
Hungary,41.620749
New Zealand,41.165451
Bulgaria,33.1343173
Belarus,32.736415
Denmark,32.703064
Ireland,27.202795
Slovakia,26.236542
Iceland,18.679313
Croatia,17.4749266
Tajikistan,16.0853177
Slovenia,14.023035
Georgia,12.1789608
Lithuania,11.306302
