Date,SP,BTC
2016-07-25,1.00,1.00
2016-07-26,1.00,0.99
2016-07-27,1.00,0.99
2016-07-28,1.00,0.99
2016-07-29,1.00,0.99
2016-08-01,1.00,0.94
2016-08-02,0.99,0.92
2016-08-03,1.00,0.83
2016-08-04,1.00,0.86
2016-08-05,1.01,0.87
2016-08-08,1.01,0.90
2016-08-09,1.01,0.89
2016-08-10,1.00,0.89
2016-08-11,1.01,0.90
2016-08-12,1.01,0.89
2016-08-15,1.01,0.86
2016-08-16,1.00,0.86
2016-08-17,1.01,0.87
2016-08-18,1.01,0.87
2016-08-19,1.01,0.87
2016-08-22,1.01,0.88
2016-08-23,1.01,0.89
2016-08-24,1.00,0.88
2016-08-25,1.00,0.88
2016-08-26,1.00,0.87
2016-08-29,1.01,0.87
2016-08-30,1.00,0.87
2016-08-31,1.00,0.87
2016-09-01,1.00,0.87
2016-09-02,1.01,0.87
2016-09-06,1.01,0.92
2016-09-07,1.01,0.92
2016-09-08,1.01,0.93
2016-09-09,0.98,0.95
2016-09-12,1.00,0.92
2016-09-13,0.98,0.92
2016-09-14,0.98,0.92
2016-09-15,0.99,0.92
2016-09-16,0.99,0.92
2016-09-19,0.99,0.92
2016-09-20,0.99,0.92
2016-09-21,1.00,0.91
2016-09-22,1.00,0.90
2016-09-23,1.00,0.90
2016-09-26,0.99,0.91
2016-09-27,1.00,0.92
2016-09-28,1.00,0.92
2016-09-29,0.99,0.91
2016-09-30,1.00,0.92
2016-10-03,1.00,0.92
2016-10-04,0.99,0.93
2016-10-05,1.00,0.92
2016-10-06,1.00,0.93
2016-10-07,0.99,0.93
2016-10-10,1.00,0.93
2016-10-11,0.99,0.94
2016-10-12,0.99,0.97
2016-10-13,0.98,0.96
2016-10-14,0.98,0.96
2016-10-17,0.98,0.97
2016-10-18,0.99,0.97
2016-10-19,0.99,0.97
2016-10-20,0.99,0.95
2016-10-21,0.99,0.95
2016-10-24,0.99,0.99
2016-10-25,0.99,0.99
2016-10-26,0.99,0.99
2016-10-27,0.98,1.03
2016-10-28,0.98,1.04
2016-10-31,0.98,1.06
2016-11-01,0.97,1.06
2016-11-02,0.97,1.10
2016-11-03,0.96,1.12
2016-11-04,0.96,1.04
2016-11-07,0.98,1.07
2016-11-08,0.99,1.06
2016-11-09,1.00,1.07
2016-11-10,1.00,1.09
2016-11-11,1.00,1.08
2016-11-14,1.00,1.06
2016-11-15,1.01,1.07
2016-11-16,1.00,1.08
2016-11-17,1.01,1.13
2016-11-18,1.01,1.12
2016-11-21,1.01,1.11
2016-11-22,1.02,1.12
2016-11-23,1.02,1.14
2016-11-25,1.02,1.12
2016-11-28,1.02,1.11
2016-11-29,1.02,1.11
2016-11-30,1.01,1.11
2016-12-01,1.01,1.13
2016-12-02,1.01,1.15
2016-12-05,1.02,1.17
2016-12-06,1.02,1.15
2016-12-07,1.03,1.16
2016-12-08,1.04,1.16
2016-12-09,1.04,1.16
2016-12-12,1.04,1.16
2016-12-13,1.05,1.18
2016-12-14,1.04,1.18
2016-12-15,1.04,1.18
2016-12-16,1.04,1.18
2016-12-19,1.04,1.20
2016-12-20,1.05,1.20
2016-12-21,1.04,1.21
2016-12-22,1.04,1.26
2016-12-23,1.04,1.31
2016-12-27,1.05,1.37
2016-12-28,1.04,1.41
2016-12-29,1.04,1.47
2016-12-30,1.03,1.47
2017-01-03,1.04,1.54
2017-01-04,1.05,1.58
2017-01-05,1.05,1.75
2017-01-06,1.05,1.53
2017-01-09,1.05,1.38
2017-01-10,1.05,1.36
2017-01-11,1.05,1.37
2017-01-12,1.05,1.17
2017-01-13,1.05,1.22
2017-01-17,1.05,1.26
2017-01-18,1.05,1.38
2017-01-19,1.04,1.34
2017-01-20,1.05,1.36
2017-01-23,1.04,1.40
2017-01-24,1.05,1.38
2017-01-25,1.06,1.35
2017-01-26,1.06,1.36
2017-01-27,1.06,1.39
2017-01-30,1.05,1.39
2017-01-31,1.05,1.39
2017-02-01,1.05,1.47
2017-02-02,1.05,1.50
2017-02-03,1.06,1.53
2017-02-06,1.06,1.56
2017-02-07,1.06,1.57
2017-02-08,1.06,1.61
2017-02-09,1.06,1.61
2017-02-10,1.07,1.51
2017-02-13,1.07,1.51
2017-02-14,1.08,1.50
2017-02-15,1.08,1.52
2017-02-16,1.08,1.52
2017-02-17,1.08,1.55
2017-02-21,1.09,1.63
2017-02-22,1.09,1.69
2017-02-23,1.09,1.69
2017-02-24,1.09,1.77
2017-02-27,1.09,1.76
2017-02-28,1.09,1.79
2017-03-01,1.10,1.78
2017-03-02,1.10,1.85
2017-03-03,1.10,1.89
2017-03-06,1.10,1.92
2017-03-07,1.09,1.93
2017-03-08,1.09,1.85
2017-03-09,1.09,1.74
2017-03-10,1.09,1.80
2017-03-13,1.09,1.85
2017-03-14,1.09,1.86
2017-03-15,1.10,1.88
2017-03-16,1.10,1.89
2017-03-17,1.10,1.78
2017-03-20,1.09,1.57
2017-03-21,1.08,1.60
